ASCII,ASCII Hex,ASCII Code,Can be middle character?,Can be first char?
"	",9,9,Y,
,,,,
,C,12,Y,
,,,,
 ,20,32,Y,
!,21,33,Y,
,,,,
#,23,35,Y,
$,24,36,Y,
%,25,37,Y,
&,26,38,Y,
,,,,
0,30,48,Y,
1,31,49,Y,
2,32,50,Y,
3,33,51,Y,
4,34,52,Y,
5,35,53,Y,
6,36,54,Y,
7,37,55,Y,
8,38,56,Y,
9,39,57,Y,
,,,,
@,40,64,Y,
A,41,65,Y,Y
B,42,66,Y,Y
C,43,67,Y,Y
D,44,68,Y,Y
E,45,69,Y,Y
F,46,70,Y,Y
G,47,71,Y,Y
H,48,72,Y,Y
I,49,73,Y,Y
J,4A,74,Y,Y
K,4B,75,Y,Y
L,4C,76,Y,Y
M,4D,77,Y,Y
N,4E,78,Y,Y
O,4F,79,Y,Y
P,50,80,Y,Y
Q,51,81,Y,Y
R,52,82,Y,Y
S,53,83,Y,Y
T,54,84,Y,Y
U,55,85,Y,Y
V,56,86,Y,Y
W,57,87,Y,Y
X,58,88,Y,Y
Y,59,89,Y,Y
Z,5A,90,Y,Y
,,,,
_,5F,95,Y,Y
,,,,
a,61,97,Y,Y
b,62,98,Y,Y
c,63,99,Y,Y
d,64,100,Y,Y
e,65,101,Y,Y
f,66,102,Y,Y
g,67,103,Y,Y
h,68,104,Y,Y
i,69,105,Y,Y
j,6A,106,Y,Y
k,6B,107,Y,Y
l,6C,108,Y,Y
m,6D,109,Y,Y
n,6E,110,Y,Y
o,6F,111,Y,Y
p,70,112,Y,Y
q,71,113,Y,Y
r,72,114,Y,Y
s,73,115,Y,Y
t,74,116,Y,Y
u,75,117,Y,Y
v,76,118,Y,Y
w,77,119,Y,Y
x,78,120,Y,Y
y,79,121,Y,Y
z,7A,122,Y,Y
,,,,
~,7E,126,Y,Y
,,,,
Ä,80,128,Y,Y
Å,81,129,Y,Y
Ç,82,130,Y,Y
É,83,131,Y,Y
Ñ,84,132,Y,Y
Ö,85,133,Y,Y
Ü,86,134,Y,Y
á,87,135,Y,Y
à,88,136,Y,Y
â,89,137,Y,Y
ä,8A,138,Y,Y
ã,8B,139,Y,Y
å,8C,140,Y,Y
ç,8D,141,Y,Y
é,8E,142,Y,Y
è,8F,143,Y,Y
ê,90,144,Y,Y
ë,91,145,Y,Y
í,92,146,Y,Y
ì,93,147,Y,Y
î,94,148,Y,Y
ï,95,149,Y,Y
ñ,96,150,Y,Y
ó,97,151,Y,Y
ò,98,152,Y,Y
ô,99,153,Y,Y
ö,9A,154,Y,Y
õ,9B,155,Y,Y
ú,9C,156,Y,Y
ù,9D,157,Y,Y
û,9E,158,Y,Y
ü,9F,159,Y,Y
†,A0,160,Y,Y
°,A1,161,Y,Y
¢,A2,162,Y,Y
£,A3,163,Y,Y
§,A4,164,Y,Y
•,A5,165,Y,Y
¶,A6,166,Y,Y
ß,A7,167,Y,Y
®,A8,168,Y,Y
©,A9,169,Y,Y
™,AA,170,Y,Y
´,AB,171,Y,Y
¨,AC,172,Y,Y
≠,AD,173,Y,Y
Æ,AE,174,Y,Y
Ø,AF,175,Y,Y
∞,B0,176,Y,Y
±,B1,177,Y,Y
≤,B2,178,Y,Y
≥,B3,179,Y,Y
¥,B4,180,Y,Y
µ,B5,181,Y,Y
∂,B6,182,Y,Y
∑,B7,183,Y,Y
∏,B8,184,Y,Y
π,B9,185,Y,Y
∫,BA,186,Y,Y
ª,BB,187,Y,Y
º,BC,188,Y,Y
Ω,BD,189,Y,Y
æ,BE,190,Y,Y
ø,BF,191,Y,Y
¿,C0,192,Y,Y
¡,C1,193,Y,Y
¬,C2,194,Y,Y
√,C3,195,Y,Y
ƒ,C4,196,Y,Y
≈,C5,197,Y,Y
∆,C6,198,Y,Y
«,C7,199,Y,Y
»,C8,200,Y,Y
…,C9,201,Y,Y
 ,CA,202,Y,Y
À,CB,203,Y,Y
Ã,CC,204,Y,Y
Õ,CD,205,Y,Y
Œ,CE,206,Y,Y
œ,CF,207,Y,Y
–,D0,208,Y,Y
—,D1,209,Y,Y
“,D2,210,Y,Y
”,D3,211,Y,Y
‘,D4,212,Y,Y
’,D5,213,Y,Y
÷,D6,214,Y,Y
◊,D7,215,Y,Y
ÿ,D8,216,Y,Y
Ÿ,D9,217,Y,Y
⁄,DA,218,Y,Y
€,DB,219,Y,Y
‹,DC,220,Y,Y
›,DD,221,Y,Y
ﬁ,DE,222,Y,Y
ﬂ,DF,223,Y,Y
‡,E0,224,Y,Y
·,E1,225,Y,Y
‚,E2,226,Y,Y
„,E3,227,Y,Y
‰,E4,228,Y,Y
Â,E5,229,Y,Y
Ê,E6,230,Y,Y
Á,E7,231,Y,Y
Ë,E8,232,Y,Y
È,E9,233,Y,Y
Í,EA,234,Y,Y
Î,EB,235,Y,Y
Ï,EC,236,Y,Y
Ì,ED,237,Y,Y
Ó,EE,238,Y,Y
Ô,EF,239,Y,Y
,F0,240,Y,Y
Ò,F1,241,Y,Y
Ú,F2,242,Y,Y
Û,F3,243,Y,Y
Ù,F4,244,Y,Y
ı,F5,245,Y,Y
ˆ,F6,246,Y,Y
˜,F7,247,Y,Y
¯,F8,248,Y,Y
˘,F9,249,Y,Y
˙,FA,250,Y,Y
˚,FB,251,Y,Y
¸,FC,252,Y,Y
˝,FD,253,Y,Y
˛,FE,254,Y,Y
ˇ,FF,255,Y,Y
